SOC,OCV
0.063413,3.2653
0.063613,3.2656
0.063813,3.2658
0.064013,3.2661
0.064213,3.2665
0.064413,3.2667
0.064613,3.267
0.064813,3.2673
0.065013,3.2676
0.065213,3.2679
0.065413,3.2682
0.065613,3.2685
0.065813,3.2688
0.066013,3.2691
0.066213,3.2693
0.066413,3.2696
0.066613,3.2699
0.066813,3.2702
0.067013,3.2705
0.067213,3.2707
0.067413,3.271
0.067614,3.2713
0.067814,3.2716
0.068014,3.2718
0.068214,3.2722
0.068414,3.2724
0.068614,3.2727
0.068814,3.2729
0.069014,3.2732
0.069214,3.2735
0.069414,3.2738
0.069614,3.274
0.069814,3.2742
0.070014,3.2745
0.070214,3.2748
0.070414,3.2751
0.070614,3.2753
0.070814,3.2755
0.071014,3.2758
0.071214,3.2761
0.071414,3.2764
0.071614,3.2766
0.071814,3.2768
0.072014,3.2771
0.072214,3.2774
0.072414,3.2776
0.072615,3.2779
0.072815,3.2781
0.073015,3.2784
0.073215,3.2786
0.073415,3.2788
0.073615,3.2791
0.073815,3.2793
0.074015,3.2796
0.074215,3.2798
0.074415,3.2801
0.074615,3.2803
0.074815,3.2805
0.075015,3.2808
0.075215,3.281
0.075415,3.2812
0.075615,3.2815
0.075815,3.2818
0.076015,3.282
0.076215,3.2822
0.076415,3.2825
0.076615,3.2827
0.076815,3.283
0.077015,3.2832
0.077215,3.2834
0.077415,3.2836
0.077616,3.2839
0.077816,3.2841
0.078016,3.2843
0.078216,3.2846
0.078416,3.2848
0.078616,3.285
0.078816,3.2853
0.079016,3.2855
0.079216,3.2857
0.079416,3.2859
0.079616,3.2862
0.079816,3.2864
0.080016,3.2866
0.080216,3.2869
0.080416,3.2871
0.080616,3.2873
0.080816,3.2876
0.081016,3.2878
0.081216,3.288
0.081416,3.2882
0.081616,3.2885
0.081816,3.2886
0.082016,3.2889
0.082216,3.2891
0.082416,3.2893
0.082617,3.2895
0.082817,3.2898
0.083017,3.29
0.083217,3.2902
0.083417,3.2904
0.083617,3.2906
0.083817,3.2909
0.084017,3.2911
0.084217,3.2913
0.084417,3.2915
0.084617,3.2917
0.084817,3.2919
0.085017,3.2922
0.085217,3.2924
0.085417,3.2926
0.085617,3.2928
0.085817,3.293
0.086017,3.2932
0.086217,3.2935
0.086417,3.2937
0.086617,3.2939
0.086817,3.2941
0.087017,3.2943
0.087217,3.2945
0.087417,3.2947
0.087618,3.2949
0.087818,3.2952
0.088018,3.2954
0.088218,3.2956
0.088418,3.2958
0.088618,3.296
0.088818,3.2962
0.089018,3.2964
0.089218,3.2966
0.089418,3.2968
0.089618,3.2971
0.089818,3.2973
0.090018,3.2975
0.090218,3.2977
0.090418,3.2979
0.090618,3.2981
0.090818,3.2983
0.091018,3.2985
0.091218,3.2987
0.091418,3.2989
0.091618,3.2991
0.091818,3.2993
0.092018,3.2995
0.092218,3.2998
0.092418,3.3
0.092619,3.3001
0.092819,3.3004
0.093019,3.3006
0.093219,3.3008
0.093419,3.301
0.093619,3.3012
0.093819,3.3014
0.094019,3.3016
0.094219,3.3018
0.094419,3.302
0.094619,3.3022
0.094819,3.3024
0.095019,3.3026
0.095219,3.3028
0.095419,3.303
0.095619,3.3032
0.095819,3.3034
0.096019,3.3036
0.096219,3.3038
0.096419,3.304
0.096619,3.3042
0.096819,3.3044
0.097019,3.3046
0.097219,3.3048
0.097419,3.305
0.09762,3.3052
0.09782,3.3054
0.09802,3.3057
0.09822,3.3058
0.09842,3.306
0.09862,3.3062
0.09882,3.3064
0.09902,3.3066
